模型名称,R²,RMSE,MAE,特征数,耗时 (s)
RandomForest,0.37975916792305875,51.782077317927104,41.22497222567037,10,0
ExtraTrees,0.3496608101895008,53.02360541448568,42.43450724235839,10,0
XGBoost,0.4814412125274973,47.34763501556804,37.98073186029682,10,0
GBRT,0.4082679472449463,50.57802181043495,39.40063798984562,10,0
