iter	RMSE
0	69.04944118
1	68.53738556
2	68.14586005
3	67.66378326
4	67.26067397
5	66.87231344
6	66.35036652
7	65.93061888
8	65.4601578
9	65.03436542
10	64.68166124
11	64.16614658
12	63.81388136
13	63.48340763
14	63.09848841
15	62.65162592
16	62.27350231
17	62.14455506
18	61.75299351
19	61.26131054
20	60.84723596
21	60.54943556
22	60.21336089
23	59.84726166
24	59.53191594
25	59.20099552
26	58.87369335
27	58.51258258
28	58.1828085
29	57.75434447
30	57.45667959
31	57.16772072
32	56.78635328
33	56.35648478
34	55.95168648
35	55.60348005
36	55.19416878
37	54.86300107
38	54.49956795
39	54.21518989
40	53.93230281
41	53.71626862
42	53.42736398
43	53.23306756
44	52.88626649
45	52.69365594
46	52.43405316
47	52.19909497
48	52.01180085
49	51.73331494
50	51.4695708
51	51.14907439
52	50.93749361
53	50.69993668
54	50.4716411
55	50.32753409
56	50.12580791
57	49.85528972
58	49.6802024
59	49.40726715
60	49.13211102
61	48.85671223
62	48.65918589
63	48.3722999
64	48.18605561
65	47.95580144
66	47.70770377
67	47.49163601
68	47.22421028
69	47.16786902
70	46.88618067
71	46.67418423
72	46.51366135
73	46.29084348
74	46.13860018
75	45.93234177
76	45.7093342
77	45.5059656
78	45.42469107
79	45.21982022
80	45.05142049
81	44.91740651
82	44.64619591
83	44.41242983
84	44.14964406
85	43.98572095
86	43.70581771
87	43.47534121
88	43.35827815
89	43.17889477
90	42.92975016
91	42.7559454
92	42.55397837
93	42.39695884
94	42.16729956
95	41.99719528
96	41.93391445
97	41.71691358
98	41.54842771
99	41.39732461
100	41.2163095
101	41.02835935
102	40.75845016
103	40.64495919
104	40.45637417
105	40.26137855
106	40.19291306
107	40.01869147
108	39.83527918
109	39.73603513
110	39.60287539
111	39.44232728
112	39.28683626
113	39.1222749
114	39.01923671
115	38.86107412
116	38.70510244
117	38.62142088
118	38.47728068
119	38.3370214
120	38.29393333
121	38.16664412
122	38.00018877
123	37.76150655
124	37.52348543
125	37.37887152
126	37.23207806
127	37.15677764
128	37.01444567
129	36.93988948
130	36.78836473
131	36.74178542
132	36.58135003
133	36.39541122
134	36.3093315
135	36.2133419
136	36.0321049
137	35.86220218
138	35.6156694
139	35.40536565
140	35.24083544
141	35.00980904
142	34.89039336
143	34.68914833
144	34.53524702
145	34.48308388
146	34.29652269
147	34.1470908
148	33.99622916
149	33.84390074
150	33.7236152
151	33.68336753
152	33.49636757
153	33.34152403
154	33.20874059
155	33.01341807
156	32.90033372
157	32.83948047
158	32.7087341
159	32.6332712
160	32.53161455
161	32.39619824
162	32.35159394
163	32.16132138
164	31.99844202
165	31.80206629
166	31.63952744
167	31.4985437
168	31.4063862
169	31.37119311
170	31.21442602
171	31.07811294
172	31.01857809
173	30.96991708
174	30.9159401
175	30.83598476
176	30.67318528
177	30.58796451
178	30.36764717
179	30.28889364
180	30.25446111
181	30.09719925
182	30.04496757
183	29.90112235
184	29.85301354
185	29.82005404
186	29.66192496
187	29.57565633
188	29.46371242
189	29.43236294
190	29.31864527
191	29.25945604
192	29.19438251
193	29.03430217
194	28.94883033
195	28.88576131
196	28.73390332
197	28.5537722
198	28.41061745
199	28.35915884
200	28.3128618
201	28.16460033
202	28.03912507
203	27.874654
204	27.82283762
205	27.77218623
206	27.60888971
207	27.56122228
208	27.38159768
209	27.32894808
210	27.19399732
211	27.03741175
212	26.9183561
213	26.81683045
214	26.71510109
215	26.68199376
216	26.52318058
217	26.36250524
218	26.22177012
219	26.17587488
220	26.13402001
221	26.07720754
222	26.03881414
223	26.00077038
224	25.96486085
225	25.93048854
226	25.85452846
227	25.69677211
228	25.56894394
229	25.54477976
230	25.41031362
231	25.27853023
232	25.24067061
233	25.19459015
