真实值,PowerSHAP_RF_预测值,BorutaSHAP_RF_预测值,Stacking_Ensemble_预测值,Baseline_RF_预测值
110.865388942,124.88883112480995,127.85684527313839,122.0557323246211,121.27474257801644
227.768174351,157.33829780009393,160.33484044022077,142.52644237044524,141.76273566935706
104.463654189,158.43775456457328,205.81601306967025,144.41920486327888,144.5231212529671
257.180689249,157.32003437865768,90.73116791175421,161.12351175702952,168.62989339625844
93.4484741401,157.96557668816567,187.67918173174334,155.75908740723992,162.45130297882932
125.626848074,205.82894072789588,356.17865249955753,186.84739857871295,210.17740817991276
90.6813886322,115.20236903258248,126.98248908902016,138.5100723641572,119.0305355748137
117.904573521,199.246996709181,239.31156549645328,185.0688520972161,196.41021741247837
90.9952079726,155.09180745165793,141.53646878443894,159.51915052559127,156.2235001842135
71.9288294678,115.76746698138255,79.58513890922046,131.42943450990902,109.50973552994948
110.215598499,139.56473962086113,193.09040081474737,162.63359520411248,140.59579848287743
346.08338061,144.52229915038413,116.00014058576119,138.12704953571696,134.75680005188312
93.1473720944,122.00145745974739,69.04030584098975,106.0698779561425,108.6713002562082
157.050350468,136.21216522436578,205.81601306967025,136.06378784250853,162.54918689468806
174.146328992,118.59014690705025,175.71356885744999,135.16017813314556,122.49422294102024
103.71093445,190.9082134882786,123.95172260376792,164.37870549939566,184.66181381331438
133.671155962,144.41893772819796,120.69930155492013,149.2929336643498,132.71220842255
224.383433631,108.92120985327294,113.33051189425298,119.54383385661947,101.29025476244657
196.708323412,128.18335940349675,115.59579412693611,140.8660070615585,141.24003436999666
64.2478401759,173.48974660408985,283.24017092540714,153.830931769855,155.1641941963036
233.421976269,162.95940266353236,180.38313048898735,170.05221604988606,170.85154935704202
6.72327331309,140.11197503188262,76.7760309599325,145.64608462858968,129.14497837875874
335.034406477,217.38105464007896,239.0196796246856,193.19483086613639,207.02751670789362
267.307988198,226.27401933906836,249.67822168260784,223.8265798550873,237.58676206828443
84.4639192541,117.46896185982774,144.93164536075497,132.95507871748566,123.54752843375367
174.39435647,219.69716012752866,356.17865249955753,178.19516440111084,212.0740195179963
107.140021425,156.38132713563,284.55470621893164,149.5066042218296,179.79052954761337
169.101629032,130.9517710987942,140.12164906610627,123.04917271419333,145.75138871984095
100.320177822,141.07210617513442,84.15586221324311,147.70170464136856,148.5723527190828
140.01782869,190.9472258704439,234.77936325130682,184.1965685175038,198.17106792439014
107.226145832,128.14921814106384,140.12164906610627,126.6194990241048,136.49742011470153
121.386200589,106.73871077378337,112.25974208594425,130.24561099871744,114.84195298882723
134.272636648,142.26341931149284,107.36311724763065,131.66633263513086,129.88482176684505
76.4636669587,136.0310394502818,128.64903064380994,137.3505232735419,125.64660596703081
98.8414941886,131.20712565517795,98.00933847430493,136.98578396679147,146.02185747546778
175.461645853,224.46504702632765,211.35971804506443,192.33336414960644,211.51478515635563
30.3452359598,94.453358417944,96.04388839469871,98.46712647159922,92.36374583918277
158.984643433,156.10780547191226,163.5131428313258,133.3389914665332,141.58646613755855
