真实值_AGB,PowerSHAP_RF_预测值_AGB,BorutaSHAP_RF_预测值_AGB,Stacking_Ensemble_预测值_AGB,Baseline_RF_预测值_AGB
75.18349345290001,134.45565692775273,136.6543055352864,138.15337639637787,138.76332236680088
185.082741314,190.5938698976474,180.49313830081127,208.3626090124968,184.6442242039024
110.21559849900004,140.52298660461173,145.49647385129688,146.96949543496825,143.47881081021393
183.239424731,121.54632617212611,122.67595102399058,100.96457698527583,122.344736212492
93.55462358159998,145.21573170198516,167.29857000574188,147.76257943341312,146.51660646999724
103.71093445,145.0851429667508,160.37614217528076,146.93858783780212,137.9459463352453
315.9410950359999,229.9111301594118,207.58453766662834,231.90118880863227,224.01602698237056
193.024224363,201.0912931470086,230.74102389179956,218.23205094979357,195.88408051299464
66.00590769209997,72.52144138342994,78.64913320001556,71.59472313699794,72.65338165894761
170.06251286200006,150.98869761131758,138.70401722102366,141.29628060091574,146.97901186123815
158.40663435999997,163.0194886374356,150.23440740401193,171.27495166079078,158.4754515559565
93.14737209439997,121.85243059734195,121.82013673336346,104.87708198130393,124.97340967369817
132.89995179799996,165.88718546458824,155.90341286718936,180.2086227191485,169.13352632571176
224.38343363100003,69.24363276913677,65.20279849692503,61.14640619560877,71.37611881937784
99.78932600600002,189.63756471385202,186.86949779973367,188.00531238672298,181.2852668320905
138.583273973,117.18804142436547,121.95628434218226,109.31578257759482,113.08228122677359
129.81079693,166.73676279783754,175.30222969752884,172.6317249330811,160.18189069081012
160.32266948,172.20992024993652,186.84057182701204,176.1428767047859,169.55696689271267
333.457236582,142.36698567131117,146.82030414864863,151.17259441628127,148.60245744637513
55.520178448399996,95.67755376999646,105.58172109686419,92.31140295777922,90.3698007938161
126.15609569100006,172.35046612038963,170.82600483915937,175.81594069955946,168.2148198353907
240.39734532900005,160.04308408734192,165.43121587733924,185.2289079510283,162.39050099856954
267.307988198,255.39690263415036,245.27317977746048,255.15818017106943,245.47255874710748
314.3901766890001,152.36302220851243,165.49646998441298,142.64921540653583,150.787312431217
101.30729129999997,133.68086504342278,127.89382206950182,136.60147520308783,135.50534670929088
175.97332156200005,183.20454291531414,181.97545291391776,200.31715301308788,180.00839399774347
78.51492610989999,39.14097726130508,41.94288389562953,38.76053782936983,39.85370781538411
64.24784017589998,179.75227102436173,176.14860441268272,185.98469051453398,177.16988042597754
121.386200589,89.26694361478374,87.02078529079772,96.92103042786817,88.05317949232362
101.21925961599997,137.71182048700402,117.4622829853002,129.55321255610335,137.0499684289972
134.27263664800006,128.36533476315634,127.77687168622126,133.36389403615095,129.45621815992075
181.156211357,87.51497915935278,78.95357578665701,70.9793014957785,87.82738683201576
220.64493128899997,153.62843434200542,159.9752799972009,152.39649367269269,154.67772362600658
257.18068924899995,160.3778381596719,158.7068941514838,159.3825124448997,161.7017414295024
38.424794859799995,91.85708804287336,78.94129865997357,87.41395983154786,89.43852511568471
157.05035046799998,156.85270413370327,163.3093833773311,144.5097231192306,151.7447191058496
166.034785088,91.49047901517723,92.26331896592895,72.75280402897529,90.35895434218166
