模型名称,R² (优化后),RMSE (优化后),MAE (优化后),特征数,耗时 (s)
PowerSHAP_RF,0.12189544199003943,69.57489700320968,52.3615873367976,44,45.0
BorutaSHAP_RF,0.09935490462343566,70.46221650719079,54.71503693211962,17,3.63
Stacking_Ensemble,0.05428179884812456,72.20384580741475,55.97979890135878,44,5.89
Baseline_RF,0.1431264098321814,68.72865344450126,51.7135724454668,44,1.25
