模型名称,R² (优化后),RMSE (优化后),MAE (优化后),特征数,耗时 (s)
Stacking_Ensemble,0.0381472041140003,62.172112978773846,44.15118014305275,44,5.08
Baseline_RF,0.02672277002985024,62.540248595004726,43.05503543243461,44,0.61
