真实值_AGB,Stacking_Ensemble_预测值_AGB,Baseline_RF_预测值_AGB
150.493449392,130.83297914715783,129.1127530057805
93.14737209439997,94.92609433902774,69.06544387794716
95.26239972770003,95.29791656431145,71.79092258556189
151.776425663,117.98771752338091,107.23470240458839
134.96238687200005,102.40027562668368,69.34799393482353
125.62684807399994,144.09377488897567,160.39472194763263
166.034785088,85.38406004545445,60.77759909663463
175.46164585299996,169.62718070863565,193.47057170271896
134.95612869399997,129.2328688349819,124.79032477320722
222.44806697799993,142.3776218906155,141.73839218541943
84.46391925409996,98.18397281769674,84.51290011553924
134.27263664800006,134.94828398514449,131.31278904629983
77.25532132990003,102.65554538630211,71.34969881042869
66.00590769209997,94.57257289780006,71.64453585196779
98.84149418859998,132.0685633873955,123.90572869127458
103.71093445,143.72625212718083,158.35899431660854
157.04802994299993,127.1062865864111,121.30260700788445
157.05035046799998,119.82252679556203,143.90695507265568
257.18068924899995,133.6092340471082,157.04269758321252
64.24784017589998,145.55997045430763,157.60916400121613
90.6813886322,119.23631060409174,77.29438168670542
98.07578679509996,146.0611097908902,168.13925497868402
185.37349704600004,154.1642169027977,171.11613259399724
267.307988198,164.89490549026362,220.51737281587063
193.024224363,152.055425104627,183.6236955368043
107.14002142499997,134.5900196106797,144.02443220167683
203.230384797,154.81876740086437,189.97588808644502
169.10162903199995,124.324421747194,136.918276164765
107.22614583199996,124.94268575246642,127.35521944204103
133.67115596199997,130.25902819548637,124.14417153876448
224.38343363100003,91.95507253161551,48.61901347085981
121.386200589,119.71235613592856,104.98769512543709
346.08338060999995,129.31376824850312,146.07827956985403
178.45904329599998,157.77644351718135,181.92775171825565
209.28148208099998,147.08438910126117,162.90881412065417
38.424794859799995,102.36156385329468,91.92074096812175
140.01782869000004,133.44436358386403,146.28068997467216
62.81122444950002,151.1659472753175,166.60386856360648
