真实值_AGB,RandomForest_预测值_AGB,ExtraTrees_预测值_AGB,XGBoost_预测值_AGB,GBRT_预测值_AGB
80.815299055,135.41913997845054,137.47082267777282,130.4777374267578,130.6807160444325
55.5201784484,111.36938391469533,139.13235573360362,81.31067657470703,120.97937736254264
214.015595493,178.78250407663057,216.30657217764542,184.1903839111328,170.3866271936345
103.377974736,147.1106122310015,140.86706020323916,141.5373992919922,124.00136983661675
71.9288294678,120.52875707665116,125.45369464139242,140.4715576171875,138.99982039296756
192.006801149,88.68872088093994,79.15002209923365,109.70982360839844,80.9110581528362
131.430306821,160.42278500211114,180.13199521395714,152.76348876953125,177.7061618816621
101.210711718,119.97330817785594,116.20176017857038,129.8131866455078,124.02679794278349
129.81079693,193.21962689552765,195.9900453947455,194.95484924316406,183.38106527880183
176.146177623,182.30661573798827,189.6676573839274,202.20742797851562,188.5142793947501
195.553529807,147.54118027405408,149.9164683395591,162.44366455078125,141.13915976752517
30.3452359598,104.95125550414129,98.19876229917601,119.17779541015625,97.10667542159467
185.082741314,207.05054711874658,207.65987704567908,163.94985961914062,225.0030663985946
244.686274078,168.2741211124751,177.4885477150373,185.28146362304688,174.62972018000355
100.320177822,108.99809237844163,104.61026168829895,136.27435302734375,96.84710400679879
310.452659299,218.83137222774363,226.49159921176454,237.8018798828125,223.16962893697843
203.230384797,197.42148467388543,200.8206859060818,207.0983428955078,192.01783062185484
150.493449392,149.99392337871873,171.50437418704084,132.25009155273438,153.57225378774825
238.810845382,178.84193560691872,175.2146275511327,228.98802185058594,200.66309177781937
224.383433631,120.69687802896748,130.90026810987095,142.48304748535156,87.68627323901681
230.666732419,155.28879773016692,131.73742849276732,155.93231201171875,170.8594289492489
193.024224363,173.8877660526092,166.58611125359275,196.19015502929688,170.94817295626248
121.386200589,105.22586788524943,101.05851386448201,92.68248748779297,102.13075788374717
133.671155962,156.87491903341578,138.82531515220455,148.13204956054688,161.04655050419132
121.488603708,112.98320724657805,125.3060682014324,115.56311798095703,118.57129828350307
237.540079397,160.29136485817045,160.27156626077723,162.12867736816406,169.3811712601257
78.3186683663,156.5876155546484,137.36822921809326,151.87034606933594,170.6049210422615
143.908918601,163.24763492992048,153.87987656525183,159.578125,135.0800255238844
105.38195055,177.72764156378176,185.4026464156559,202.45616149902344,143.6519899364942
169.101629032,154.39527527530478,148.05436802814324,162.65647888183594,173.39221696902302
134.956128694,142.514516970558,139.93087053262838,136.36915588378906,146.7886618992865
315.941095036,215.77628621658383,221.57981062102178,256.67083740234375,272.94156617941894
103.71093445,131.33990143893126,134.752922460642,134.76234436035156,126.62980526304841
104.214936772,97.05351364468063,97.75565897941547,101.61032104492188,109.113486462911
85.2593844558,104.79797674747059,110.96725831691919,94.30264282226562,104.27396905375963
128.441424321,141.48566581010866,158.24356903212808,157.4068603515625,144.68386960401804
159.549032946,190.79845291925244,192.31923564350635,208.99716186523438,184.53784978646365
158.984643433,164.97289209155278,182.51521579508815,164.9763946533203,151.74099772705975
